_id,endTime,artistName,trackName,msPlayed
6613f62aaacd8fc35bce4c38,2023-04-06 01:50,Sleeping At Last,As Long as You Love Me,209584
6613f62aaacd8fc35bce4c39,2023-04-06 01:59,Sleeping At Last,Never Tear Us Apart,166869
6613f62aaacd8fc35bce4c3a,2023-04-06 02:02,Sleeping At Last,Faith,212766
6613f62aaacd8fc35bce4c3b,2023-04-06 02:06,Sleeping At Last,Rainbow Connection,192571
6613f62aaacd8fc35bce4c3c,2023-04-06 02:10,Sleeping At Last,Already Gone,243007
6613f62aaacd8fc35bce4c3d,2023-04-06 02:13,Sleeping At Last,Today Has Been OK,219897
6613f62aaacd8fc35bce4c3e,2023-04-06 02:17,Sleeping At Last,Make You Feel My Love,208339
6613f62aaacd8fc35bce4c3f,2023-04-06 17:23,Billy Joel,Piano Man,4415
6613f62aaacd8fc35bce4c40,2023-04-06 23:52,SYML,Where's My Love,58185
6613f62aaacd8fc35bce4c41,2023-04-07 01:32,Sleeping At Last,Chasing Cars,242564
6613f62aaacd8fc35bce4c42,2023-04-07 01:33,Sleeping At Last,Dark Horse,2557
6613f62aaacd8fc35bce4c43,2023-04-07 13:58,Sleeping At Last,You Are Enough,1408
6613f62aaacd8fc35bce4c44,2023-04-07 13:59,Sleeping At Last,Atom 8,60120
6613f62aaacd8fc35bce4c45,2023-04-07 14:03,Sleeping At Last,Touch,256300
6613f62aaacd8fc35bce4c46,2023-04-07 14:08,Sleeping At Last,Turning Page,255893
6613f62aaacd8fc35bce4c47,2023-04-07 14:12,Sleeping At Last,Already Gone,243007
6613f62aaacd8fc35bce4c48,2023-04-07 14:17,Sleeping At Last,Saturn,289792
6613f62aaacd8fc35bce4c49,2023-04-07 14:21,Sleeping At Last,Hearing,248635
6613f62aaacd8fc35bce4c4a,2023-04-07 14:25,Sleeping At Last,Two,258609
6613f62aaacd8fc35bce4c4b,2023-04-07 14:29,Sleeping At Last,Chasing Cars,242564
6613f62aaacd8fc35bce4c4c,2023-04-07 14:50,Sleeping At Last,Almost Idyllic,27026
6613f62aaacd8fc35bce4c4d,2023-04-07 14:54,Sleeping At Last,Almost Idyllic,9203
6613f62aaacd8fc35bce4c4e,2023-04-07 14:54,Sleeping At Last,Almost Idyllic,42183
6613f62aaacd8fc35bce4c4f,2023-04-07 15:52,Miley Cyrus,Flowers,185013
6613f62aaacd8fc35bce4c50,2023-04-07 16:14,Berlin,"Take My Breath Away - Love Theme from ""Top Gun""",1397
6613f62aaacd8fc35bce4c51,2023-04-07 16:15,The Beatles,If I Fell - Remastered 2009,20984
6613f62aaacd8fc35bce4c52,2023-04-07 16:17,Gloomy Prospect,Dark & Stormy,128000
6613f62aaacd8fc35bce4c53,2023-04-07 16:20,Golden Drops,Rain Dream,158250
6613f62aaacd8fc35bce4c54,2023-04-07 16:23,Lumo,Stormy Winds,178000
6613f62aaacd8fc35bce4c55,2023-04-07 16:26,Polar Night,Ice of Rain,208000
6613f62aaacd8fc35bce4c56,2023-04-07 16:29,Peter Graham,Searching For Cover,160125
6613f62aaacd8fc35bce4c57,2023-04-07 16:33,Zinan,Voltage Dreams,208000
6613f62aaacd8fc35bce4c58,2023-04-07 16:35,Electricality,Wet Weather,156038
6613f62aaacd8fc35bce4c59,2023-04-07 16:38,"oh, the joy.",starlit rainfall,161000
6613f62aaacd8fc35bce4c5a,2023-04-07 16:52,Salvo,Beyond Storm,50077
6613f62aaacd8fc35bce4c5b,2023-04-08 04:12,Salvo,Beyond Storm,37697
6613f62aaacd8fc35bce4c5c,2023-04-08 04:12,Sleeping At Last,Turning Page,2991
6613f62aaacd8fc35bce4c5d,2023-04-08 04:12,Sleeping At Last,You Are Enough,8958
6613f62aaacd8fc35bce4c5e,2023-04-08 04:13,Sleeping At Last,Turning Page,32168
6613f62aaacd8fc35bce4c5f,2023-04-08 04:17,Sleeping At Last,Turning Page,232236
6613f62aaacd8fc35bce4c60,2023-04-08 04:21,Sleeping At Last,North,259376
6613f62aaacd8fc35bce4c61,2023-04-08 04:25,Sleeping At Last,Wave After Wave,217744
6613f62aaacd8fc35bce4c62,2023-04-08 04:27,Sleeping At Last,The Mentor,101354
6613f62aaacd8fc35bce4c63,2023-04-08 04:31,Sleeping At Last,Chasing Cars,242564
6613f62aaacd8fc35bce4c64,2023-04-08 04:32,Sleeping At Last,Atom 3,60416
6613f62aaacd8fc35bce4c65,2023-04-08 04:35,Sleeping At Last,One,203032
6613f62aaacd8fc35bce4c66,2023-04-08 04:39,Sleeping At Last,Earth,268111
6613f62aaacd8fc35bce4c67,2023-04-08 04:54,Andrew Belle,Let Down,207425
6613f62aaacd8fc35bce4c68,2023-04-08 14:35,Nívea Soares,Mais Perto Quero Estar - Ao Vivo,1116
6613f62aaacd8fc35bce4c69,2023-04-08 14:36,Nívea Soares,Mais Perto Quero Estar - Ao Vivo,55821
6613f62aaacd8fc35bce4c6a,2023-04-08 14:36,Nívea Soares,Mais Perto Quero Estar - Ao Vivo,12086
6613f62aaacd8fc35bce4c6b,2023-04-08 14:37,Nívea Soares,Mais Perto Quero Estar - Ao Vivo,9562
6613f62aaacd8fc35bce4c6c,2023-04-08 14:37,Nívea Soares,Mais Perto Quero Estar - Ao Vivo,786
6613f62aaacd8fc35bce4c6d,2023-04-08 14:39,Bonde do gato preto,Fogo Sem Fuzil,18679
6613f62aaacd8fc35bce4c6e,2023-04-08 14:39,Sleeping At Last,Some Kind of Heaven,18021
6613f62aaacd8fc35bce4c6f,2023-04-08 14:54,Bonde do gato preto,Fogo Sem Fuzil,1240
6613f62aaacd8fc35bce4c70,2023-04-09 02:43,Bonde do gato preto,Fogo Sem Fuzil,3643
6613f62aaacd8fc35bce4c71,2023-04-09 02:48,Sleeping At Last,Some Kind of Heaven,310799
6613f62aaacd8fc35bce4c72,2023-04-09 02:51,Sleeping At Last,You Are Enough,180087
6613f62aaacd8fc35bce4c73,2023-04-09 02:52,Sleeping At Last,Atom 8,60120
6613f62aaacd8fc35bce4c74,2023-04-09 03:11,Sleeping At Last,Touch,72509
6613f62aaacd8fc35bce4c75,2023-04-09 03:34,Sleeping At Last,Touch,111147
6613f62aaacd8fc35bce4c76,2023-04-09 03:35,Chuva de Ruído Branco,Som de Chuva,8760
6613f62aaacd8fc35bce4c77,2023-04-09 03:35,Tempestade No Mar,Som De Tempestade,15627
6613f62aaacd8fc35bce4c78,2023-04-09 03:40,Tempestade No Mar,Som De Tempestade,301923
6613f62aaacd8fc35bce4c79,2023-04-09 03:42,Som De Tempestade,Drop Squall,138234
6613f62aaacd8fc35bce4c7a,2023-04-09 03:44,Som De Tempestade,Warmth Showers,126688
6613f62aaacd8fc35bce4c7b,2023-04-09 03:47,Som De Tempestade,Brewing Midday,143877
6613f62aaacd8fc35bce4c7c,2023-04-09 03:49,Som De Tempestade,Bouncing Pouring,155266
6613f62aaacd8fc35bce4c7d,2023-04-09 03:52,Som De Tempestade,Winter Spitting,132749
6613f62aaacd8fc35bce4c7e,2023-04-09 03:54,Som De Tempestade,Deluge Colliding,160256
6613f62aaacd8fc35bce4c7f,2023-04-09 03:56,Som De Tempestade,Monsoon Warnings,135256
6613f62aaacd8fc35bce4c80,2023-04-09 03:59,Som De Tempestade,Rain Dreary,132775
6613f62aaacd8fc35bce4c81,2023-04-09 04:01,Som De Tempestade,Winds Rain,142257
6613f62aaacd8fc35bce4c82,2023-04-09 04:04,Som De Tempestade,Downtown Rain,151269
6613f62aaacd8fc35bce4c83,2023-04-09 05:11,Som De Tempestade,Whirlwind Skies,73228
6613f62aaacd8fc35bce4c84,2023-04-09 19:21,Sleeping At Last,Some Kind of Heaven,98854
6613f62aaacd8fc35bce4c85,2023-04-09 19:24,Miley Cyrus,Flowers,200455
6613f62aaacd8fc35bce4c86,2023-04-09 20:11,Miley Cyrus,River,108904
6613f62aaacd8fc35bce4c87,2023-04-10 06:42,Miley Cyrus,River,3689
6613f62aaacd8fc35bce4c88,2023-04-10 06:42,Of Monsters and Men,Crystals,4299
6613f62aaacd8fc35bce4c89,2023-04-10 06:42,Of Monsters and Men,Little Talks,1962
6613f62aaacd8fc35bce4c8a,2023-04-10 06:46,Of Monsters and Men,Crystals,243520
6613f62aaacd8fc35bce4c8b,2023-04-10 06:49,Of Monsters and Men,Alligator,184027
6613f62aaacd8fc35bce4c8c,2023-04-10 07:03,Of Monsters and Men,Circles,60838
6613f62aaacd8fc35bce4c8d,2023-04-10 07:06,Of Monsters and Men,Circles,162485
6613f62aaacd8fc35bce4c8e,2023-04-10 07:10,Of Monsters and Men,Dirty Paws,278373
6613f62aaacd8fc35bce4c8f,2023-04-10 07:14,Of Monsters and Men,Human,237813
6613f62aaacd8fc35bce4c90,2023-04-10 07:17,Of Monsters and Men,Sugar in a Bowl,168627
6613f62aaacd8fc35bce4c91,2023-04-10 07:20,Of Monsters and Men,Visitor,207227
6613f62aaacd8fc35bce4c92,2023-04-10 07:24,Of Monsters and Men,Mountain Sound,211453
6613f62aaacd8fc35bce4c93,2023-04-10 07:28,Of Monsters and Men,Wolves Without Teeth,232973
6613f62aaacd8fc35bce4c94,2023-04-10 07:32,Of Monsters and Men,Wild Roses,242760
6613f62aaacd8fc35bce4c95,2023-04-10 08:33,Of Monsters and Men,Destroyer,52046
6613f62aaacd8fc35bce4c96,2023-04-10 11:35,Tracy Chapman,Fast Car,273176
6613f62aaacd8fc35bce4c97,2023-04-10 11:40,U2,With Or Without You,295516
6613f62aaacd8fc35bce4c98,2023-04-10 11:50,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,16370
6613f62aaacd8fc35bce4c99,2023-04-10 11:55,Tracy Chapman,Fast Car,296800
6613f62aaacd8fc35bce4c9a,2023-04-10 12:00,U2,With Or Without You,295516
6613f62aaacd8fc35bce4c9b,2023-04-10 12:04,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,244587
6613f62aaacd8fc35bce4c9c,2023-04-10 12:08,Cyndi Lauper,True Colors,227600
